2021-11-22 03:54:32,Milk - Homo,$97.73
2021-11-21 01:24:00,Scampi Tail,$61.83
2021-11-09 18:36:22,Daves Island Stinger,$87.51
2021-11-17 12:21:22,Yogurt - Raspberry 175 Gr,$26.36
2021-11-18 12:01:41,Ginger - Crystalized,$47.68
2021-11-07 01:22:38,Lettuce - Curly Endive,$84.42
2021-11-05 13:24:04,Tarragon - Fresh,$4.68
2021-11-07 20:17:57,Soup - Knorr French Onion,$12.09
2021-11-21 00:38:42,Momiji Oroshi Chili Sauce,$96.17
2021-11-10 02:40:48,Juice - Grapefruit 341 Ml,$62.05
2021-11-08 20:44:47,Bread Base - Toscano,$77.96
2021-11-15 06:27:59,Potatoes - Peeled,$29.29
2021-11-29 15:46:44,Puree - Blackcurrant,$78.37
2021-11-06 20:30:05,Veal - Inside,$76.45
2021-11-11 00:53:39,Cake - Cheese Cake 9 Inch,$77.54
2021-11-05 07:10:02,Arctic Char - Fresh Whole,$30.83
2021-11-07 20:06:57,Pastry - Chocolate Marble Tea,$36.46
2021-11-15 11:24:59,Catfish - Fillets,$22.57
2021-11-07 07:09:03,Butcher Twine 4r,$1.08
2021-11-23 10:43:36,True - Vue Containers,$88.70
2021-11-02 22:38:58,Arrowroot,$79.12
2021-11-19 03:53:10,Eel - Smoked,$90.74
2021-11-09 22:24:33,Relish,$65.44
2021-11-22 04:43:32,Sandwich Wrap,$91.85
2021-11-15 06:11:24,Wine - Pinot Noir Stoneleigh,$9.35
2021-11-22 16:05:13,Crackers - Trio,$8.48
2021-11-06 19:04:34,Onions - Spanish,$50.02
2021-11-02 18:49:45,Sword Pick Asst,$21.82
2021-11-24 11:09:21,Wine - Segura Viudas Aria Brut,$62.82
2021-11-24 10:36:54,Beer - Original Organic Lager,$10.63
2021-11-18 21:36:52,Tray - 12in Rnd Blk,$62.53
2021-11-28 06:47:12,Cake Circle Paprus,$39.64
2021-11-05 05:16:10,Soda Water - Club Soda 355 Ml,$9.14
2021-11-07 23:33:11,Bag Stand,$11.13
2021-11-23 05:17:12,Beer - Corona,$93.60
2021-11-08 06:59:14,Plasticspoonblack,$45.82
2021-11-19 19:30:36,Pasta - Lasagna Noodle Frozen,$93.56
2021-11-29 02:56:59,Cornish Hen,$74.96
2021-11-13 19:17:02,Brandy - Orange Mc Guiness,$17.61
2021-11-04 08:56:03,Veal - Provimi Inside,$91.37
2021-11-29 09:09:45,Chocolate - White,$78.17
2021-11-17 13:43:40,Versatainer Nc - 8288,$17.79
2021-11-12 16:55:24,Muffin Hinge - 211n,$10.21
2021-11-15 21:33:04,Island Oasis - Pina Colada,$19.62
